CEBU PORT AUTHORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMMARY PORT TRAFFIC STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTICULARS,,,,TOTAL,1st Quarter,,,,,,,,,TOTAL,2nd Quarter,,,,,,,,,TOTAL,3rd Quarter,,,,,,,,,TOTAL,4th Quarter,,,,,,,,,Grand Total,Grand Total,,,,,,,,
,,,,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO
,Empties,,,"41,449","41,449",,,,,,,,,"40,977","40,977",,,,,,,,,"38,902","38,902",,,,,,,,,"38,654","38,654",,,,,,,,,"159,982","159,982",0,0,0,0,0,0,0,0
,Fulls,,,"14,754","14,754",,,,,,,,,"15,555","15,555",,,,,,,,,"16,992","16,992",,,,,,,,,"15,396","15,396",,,,,,,,,"62,697","62,697",0,0,0,0,0,0,0,0
,Import,,,"52,871","52,871",0,0,0,0,0,0,0,0,"54,267","54,267",0,0,0,0,0,0,0,0,"56,051","56,051",0,0,0,0,0,0,0,0,"49,955","49,955",0,0,0,0,0,0,0,0,"213,143","213,143",0,0,0,0,0,0,0,0
,Empties,,,4,4,,,,,,,,,402,402,,,,,,,,,88,88,,,,,,,,,179,179,,,,,,,,,673,673,0,0,0,0,0,0,0,0
,Fulls,,,"52,867","52,867",,,,,,,,,"53,865","53,865",,,,,,,,,"55,963","55,963",,,,,,,,,"49,776","49,776",,,,,,,,,"212,470","212,470",0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rolling Cargoes (No. of Units),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Domestic,,,"  245,795 ",  -   ,"  16,158 ","  3,017 ","  6,237 ","  41,321 ","  48,982 ","  59,133 ","  38,827 ","  32,120 ","  323,195 ",  6 ,"  21,654 ","  4,355 ","  6,373 ","  56,481 ","  64,433 ","  85,823 ","  39,638 ","  44,432 ","  261,799 ",  2 ,"  17,124 ","  4,312 ","  5,884 ","  50,801 ","  47,922 ","  59,935 ","  38,035 ","  37,784 ","  306,190 ",  5 ,"  24,044 ","  9,318 ","  9,400 ","  24,809 ","  55,529 ","  78,424 ","  44,472 ","  60,189 ","  1,136,979 ",  13 ,"  78,980 ","  21,002 ","  27,894 ","  173,412 ","  216,866 ","  283,315 ","  160,972 ","  174,525 "
,Inbound,,,"  122,057 ",  -   ,"  6,761 ","  1,342 ","  2,119 ","  21,946 ","  24,198 ","  29,377 ","  18,965 ","  17,349 ","  161,753 ",  -   ,"  10,080 ","  1,885 ","  2,413 ","  28,867 ","  32,069 ","  42,957 ","  18,704 ","  24,778 ","  129,177 ",  -   ,"  7,990 ","  1,857 ","  2,217 ","  25,802 ","  23,927 ","  29,863 ","  17,671 ","  19,850 ","  149,237 ",  -   ,"  11,520 ","  4,598 ","  3,925 ","  12,158 ","  27,746 ","  39,290 ","  20,609 ","  29,391 ","  562,224 ",  -   ,"  36,351 ","  9,682 ","  10,674 ","  88,773 ","  107,940 ","  141,487 ","  75,949 ","  91,368 "
,10W  26000-over,,,"  18,412 ",,"  1,760 ",  222 ,  552 ,5346,"  1,073 ","  5,227 ","  2,890 ","  1,342 ","  19,812 ",,"  2,075 ",  341 ,  524 ,"  5,263 ",  804 ,"  5,910 ","  2,353 ","  2,542 ","  20,127 ",,"  2,320 ",  359 ,  492 ,"  6,109 ",  735 ,"  5,698 ","  2,211 ","  2,203 ","  19,279 ",,"  2,394 ",  638 ,  779 ,"  5,113 ",  698 ,"  5,354 ","  2,177 ","  2,126 ","  77,630 ",0,"8,549","1,560","2,347","21,831","3,310","22,189","9,631","8,213"
,4W  1100-2300,,,"  12,081 ",,  -   ,  92 ,  306 ,,"  6,080 ","  2,369 ","  1,946 ","  1,288 ","  20,226 ",,  997 ,  243 ,  314 ,,"  9,870 ","  5,212 ","  1,810 ","  1,780 ","  13,437 ",,"  1,162 ",  176 ,  245 ,  8 ,"  6,549 ","  2,088 ","  1,657 ","  1,552 ","  20,105 ",,"  1,746 ",  899 ,  437 ,,"  8,479 ","  2,946 ","  1,806 ","  3,792 ","  65,849 ",0,"3,905","1,410","1,302",8,"30,978","12,615","7,219","8,412"
