CEBU PORT AUTHORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMMARY PORT TRAFFIC STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022 4TH QUARTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTICULARS,,,,TOTAL,OCTOBER,,,,,,,,,TOTAL,NOVEMBER,,,,,,,,,TOTAL,DECEMBER,,,,,,,,,TOTAL,4TH QUARTER 2022,,,,,,,,
,,,,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO
Rolling Cargoes (No. of Units),,,,,  -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  373,843 ",  -   ,"  22,871 ","  29,367 ","  11,716 ","  20,039 ","  51,981 ","  72,197 ","  75,845 ","  89,827 "
,Domestic,,,"  118,946 ",  -   ,"  7,191 ","  9,206 ","  3,571 ","  7,307 ","  16,657 ","  22,964 ","  24,943 ","  27,107 ","  123,227 ",  -   ,"  7,787 ","  9,544 ","  3,526 ","  6,522 ","  19,497 ","  23,133 ","  25,030 ","  28,188 ","  131,670 ",  -   ,"  7,893 ","  10,617 ","  4,619 ","  6,210 ","  15,827 ","  26,100 ","  25,872 ","  34,532 ","  373,843 ",  -   ,"  22,871 ","  29,367 ","  11,716 ","  20,039 ","  51,981 ","  72,197 ","  75,845 ","  89,827 "
,Inbound,,,"  60,962 ",  -   ,"  3,733 ","  4,672 ","  1,716 ","  3,305 ","  8,383 ","  11,490 ","  12,060 ","  15,603 ","  64,485 ",  -   ,"  4,112 ","  4,993 ","  1,753 ","  3,091 ","  9,949 ","  11,527 ","  12,642 ","  16,418 ","  63,680 ",  -   ,"  3,787 ","  5,227 ","  2,095 ","  2,868 ","  8,002 ","  12,944 ","  12,350 ","  16,407 ","  189,127 ",  -   ,"  11,632 ","  14,892 ","  5,564 ","  9,264 ","  26,334 ","  35,961 ","  37,052 ","  48,428 "
,10W  26000-over,,,"  7,992 ",,  980 ,  454 ,  678 ,1799,  234 ,"  2,482 ",  616 ,  749 ,"  8,274 ",,"  1,211 ",  420 ,  787 ,1667,  376 ,"  2,322 ",  714 ,  777 ,"  7,891 ",,"  1,062 ",  488 ,  767 ,1556,  346 ,"  2,263 ",  674 ,  735 ,"  24,157 ",0,"3,253","1,362","2,232","5,022",956,"7,067","2,004","2,261"
,4W  1100-2300,,,"  8,662 ",,  741 ,  955 ,  62 ,2,"  2,358 ",  986 ,"  1,552 ","  2,006 ","  9,154 ",,  672 ,"  1,050 ",  58 ,2,"  2,912 ",  960 ,"  1,435 ","  2,065 ","  9,734 ",,  720 ,"  1,106 ",  92 ,,"  2,121 ","  1,252 ","  1,954 ","  2,489 ","  27,550 ",0,"2,133","3,111",212,4,"7,391","3,198","4,941","6,560"
,4W  2400-over,,,"  11,832 ",,  983 ,  957 ,  320 ,653,  -   ,"  2,936 ","  1,913 ","  4,070 ","  12,235 ",,"  1,048 ","  1,075 ",  282 ,562,  6 ,"  2,992 ","  2,134 ","  4,136 ","  13,054 ",,"  1,037 ","  1,145 ",  410 ,487,  4 ,"  3,510 ","  1,812 ","  4,649 ","  37,121 ",0,"3,068","3,177","1,012","1,702",10,"9,438","5,859","12,855"
,6W  4800-7500,,,"  4,153 ",,  47 ,  384 ,  18 ,,"  1,363 ",  518 ,  758 ,"  1,065 ","  4,192 ",,  77 ,  363 ,  35 ,,"  1,647 ",  515 ,  665 ,  890 ,"  4,073 ",,  50 ,  396 ,  24 ,,"  1,199 ",  509 ,  725 ,"  1,170 ","  12,418 ",0,174,"1,143",77,0,"4,209","1,542","2,148","3,125"
,6W  7600-15000,,,"  5,563 ",,  198 ,  402 ,  156 ,652,  1 ,"  2,052 ",  806 ,"  1,296 ","  5,720 ",,  247 ,  370 ,  141 ,662,  5 ,"  2,024 ",  857 ,"  1,414 ","  5,345 ",,  262 ,  416 ,  155 ,505,  4 ,"  1,978 ",  827 ,"  1,198 ","  16,628 ",0,707,"1,188",452,"1,819",10,"6,054","2,490","3,908"
,8W-10W  20000-25000,,,"  9,358 ",,  11 ,  508 ,  18 ,8,"  2,360 ",  205 ,"  3,893 ","  2,355 ","  9,886 ",,  15 ,  489 ,  17 ,16,"  2,624 ",  241 ,"  3,955 ","  2,529 ","  9,253 ",,  7 ,  536 ,  6 ,24,"  2,459 ",  161 ,"  3,911 ","  2,149 ","  28,497 ",0,33,"1,533",41,48,"7,443",607,"11,759","7,033"
,Heavy Equipment,,,  21 ,,  2 ,,  4 ,1,  1 ,  8 ,  4 ,  1 ,  76 ,,  4 ,  23 ,  6 ,12,  5 ,  11 ,  11 ,  4 ,  93 ,,  31 ,  -   ,  2 ,15,  26 ,  7 ,  5 ,  7 ,  190 ,0,37,23,12,28,32,26,20,12
